path-js-markup-content-type	/f01-suffix.js
path-uppercase-js-opaque-content-type	/F02-UPPER.JS
path-mjs-module-suffix	/f03-module.mjs
no-extension-scriptish-content-type	/f04-noext
path-js-with-query-string	/f05-query.js?v=2
path-js-with-fragment	/f06-frag.js#frag
content-type-with-charset-parameter	/f07-charset.bin
content-type-uppercase	/f08-upperct.bin
javascript-body-served-text-plain	/f09-plain.txt
markup-page-with-script-element	/f10-markup.html
media-application-ecmascript	/m01.bin
media-application-javascript	/m02.bin
media-application-x-ecmascript	/m03.bin
media-application-x-javascript	/m04.bin
media-text-ecmascript	/m05.bin
media-text-javascript	/m06.bin
media-text-javascript1-0	/m07.bin
media-text-javascript1-1	/m08.bin
media-text-javascript1-2	/m09.bin
media-text-javascript1-3	/m10.bin
media-text-javascript1-4	/m11.bin
media-text-javascript1-5	/m12.bin
media-text-js	/m13.bin
media-text-jscript	/m14.bin
media-text-livescript	/m15.bin
media-text-x-ecmascript	/m16.bin
media-text-x-javascript	/m17.bin
